2025-03-11 09:32:47.061 [info] Reading sessions from keychain...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.061 [info] Getting sessions for all scopes...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:47.183 [info] Got 0 sessions for ...
2025-03-11 09:32:48.076 [info] Getting sessions for all scopes...
2025-03-11 09:32:48.076 [info] Got 0 sessions for ...
2025-03-11 09:32:54.848 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-03-11 09:32:54.848 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-03-11 09:32:57.074 [info] Getting sessions for all scopes...
2025-03-11 09:32:57.074 [info] Got 0 sessions for ...
